    PID TTY          TIME CMD
      1 ?        00:00:02 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 pool_workqueue_release
      4 ?        00:00:00 kworker/R-rcu_gp
      5 ?        00:00:00 kworker/R-sync_wq
      6 ?        00:00:00 kworker/R-kvfree_rcu_reclaim
      7 ?        00:00:00 kworker/R-slub_flushwq
      8 ?        00:00:00 kworker/R-netns
     10 ?        00:00:00 kworker/0:0H-kblockd
     13 ?        00:00:00 kworker/R-mm_percpu_wq
     14 ?        00:00:00 ksoftirqd/0
     15 ?        00:00:05 rcu_preempt
     16 ?        00:00:00 rcu_exp_par_gp_kthread_worker/0
     17 ?        00:00:00 rcu_exp_gp_kthread_worker
     18 ?        00:00:00 migration/0
     19 ?        00:00:00 idle_inject/0
     20 ?        00:00:00 cpuhp/0
     21 ?        00:00:00 cpuhp/1
     22 ?        00:00:00 idle_inject/1
     23 ?        00:00:01 migration/1
     24 ?        00:00:00 ksoftirqd/1
     31 ?        00:00:00 kdevtmpfs
     32 ?        00:00:00 kworker/R-inet_frag_wq
     33 ?        00:00:00 rcu_tasks_kthread
     34 ?        00:00:00 rcu_tasks_rude_kthread
     35 ?        00:00:00 rcu_tasks_trace_kthread
     36 ?        00:00:00 kauditd
     37 ?        00:00:00 khungtaskd
     38 ?        00:00:00 oom_reaper
     40 ?        00:00:00 kworker/R-writeback
     41 ?        00:00:01 kworker/u9:2-events_unbound
     42 ?        00:00:01 kcompactd0
     43 ?        00:00:00 ksmd
     44 ?        00:00:01 khugepaged
     45 ?        00:00:00 kworker/R-kblockd
     46 ?        00:00:00 kworker/R-blkcg_punt_bio
     47 ?        00:00:00 kworker/R-kintegrityd
     48 ?        00:00:00 irq/9-acpi
     49 ?        00:00:00 kworker/R-tpm_dev_wq
     50 ?        00:00:00 kworker/R-edac-poller
     51 ?        00:00:00 kworker/R-devfreq_wq
     52 ?        00:00:00 kworker/R-quota_events_unbound
     54 ?        00:00:00 kswapd0
     56 ?        00:00:00 kdamond.0
     59 ?        00:00:00 kworker/R-kthrotld
     60 ?        00:00:00 kworker/R-acpi_thermal_pm
     61 ?        00:00:00 kworker/R-mld
     63 ?        00:00:00 kworker/R-ipv6_addrconf
     64 ?        00:00:00 kworker/R-kstrp
     65 ?        00:00:00 kworker/u8:1-ipv6_addrconf
     72 ?        00:00:00 kworker/u11:0
     73 ?        00:00:00 kworker/u12:0-ttm
     74 ?        00:00:00 kworker/u13:0-ttm
    167 ?        00:00:00 kworker/1:1H-kblockd
    206 ?        00:00:00 irq/18-vmwgfx
    207 ?        00:00:00 kworker/R-ttm
    208 ?        00:00:00 kworker/R-ata_sff
    209 ?        00:00:00 scsi_eh_0
    210 ?        00:00:00 scsi_eh_1
    211 ?        00:00:00 kworker/R-scsi_tmf_0
    212 ?        00:00:00 scsi_eh_2
    213 ?        00:00:00 kworker/R-scsi_tmf_1
    214 ?        00:00:00 kworker/R-scsi_tmf_2
    263 ?        00:00:00 jbd2/sda1-8
    264 ?        00:00:00 kworker/R-ext4-rsv-conversion
    488 ?        00:00:00 haveged
    495 ?        00:00:00 accounts-daemon
    496 ?        00:00:08 dbus-daemon
    505 ?        00:00:00 polkitd
    579 ?        00:00:00 NetworkManager
    590 ?        00:00:00 ModemManager
    595 ?        00:00:00 kworker/R-rpciod
    596 ?        00:00:00 kworker/R-xprtiod
    600 ?        00:00:00 cron
    630 ?        00:00:12 VBoxDRMClient
    634 ?        00:00:05 VBoxService
    681 ?        00:00:00 kworker/u13:1
    683 ?        00:00:00 lightdm
    693 ?        00:00:00 kworker/u12:1
    695 tty7     00:02:10 Xorg
    696 tty1     00:00:00 agetty
    717 ?        00:00:00 psimon
    747 ?        00:00:00 rtkit-daemon
    821 ?        00:00:00 kworker/u8:2
    877 ?        00:00:00 lightdm
    901 ?        00:00:00 systemd
    903 ?        00:00:00 (sd-pam)
    924 ?        00:00:00 dbus-daemon
    925 ?        00:00:00 pipewire
    927 ?        00:00:00 gnome-keyring-d
    928 ?        00:00:00 mpris-proxy
    929 ?        00:00:00 wireplumber
    930 ?        00:00:00 pipewire
    936 ?        00:00:00 pipewire-pulse
    946 ?        00:00:02 xfce4-session
   1017 ?        00:00:00 VBoxClient
   1019 ?        00:00:00 VBoxClient
   1025 ?        00:00:00 VBoxClient
   1026 ?        00:00:09 VBoxClient
   1033 ?        00:00:00 VBoxClient
   1035 ?        00:00:52 VBoxClient
   1049 ?        00:00:00 VBoxClient
   1050 ?        00:00:04 VBoxClient
   1068 ?        00:00:00 at-spi-bus-laun
   1075 ?        00:00:00 dbus-daemon
   1085 ?        00:00:01 at-spi2-registr
   1093 ?        00:00:00 ssh-agent
   1102 ?        00:00:00 gpg-agent
   1105 ?        00:00:35 xfwm4
   1110 ?        00:00:00 gvfsd
   1116 ?        00:00:00 gvfsd-fuse
